"Time","referenceVector[1]","referenceVector[2]","referenceVector[3]","referenceVector[4]","referenceVector[5]","referenceVector[6]","referenceVector[7]","referenceVector[8]","referenceVector[9]","referenceVector[10]","referenceVector[11]","quadChassisTest17_1.body.r_0[1]","quadChassisTest17_1.body.r_0[2]","quadChassisTest17_1.body.r_0[3]","quadChassisTest17_1.body.v_0[1]","quadChassisTest17_1.body.v_0[2]","quadChassisTest17_1.body.v_0[3]","sensors1_1.AngleMea[1]","sensors1_1.AngleMea[2]","sensors1_1.AngleMea[3]","quadChassisTest17_1.body.frame_b.R.w[1]","quadChassisTest17_1.body.frame_b.R.w[2]","quadChassisTest17_1.body.frame_b.R.w[3]","quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]","motorCommand[1]","motorCommand[2]","motorCommand[3]","motorCommand[4]","speedSensor[1].w","speedSensor[2].w","speedSensor[3].w","speedSensor[4].w","controllerDiagnostics[1]","controllerDiagnostics[2]","controllerDiagnostics[3]","controllerDiagnostics[4]","controllerDiagnostics[5]","controllerDiagnostics[6]","controllerDiagnostics[7]","controllerDiagnostics[8]","controllerDiagnostics[9]","controllerDiagnostics[10]","controllerDiagnostics[11]","controllerDiagnostics[12]"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,14.1446415209082,-14.1446415209082,14.1446415209082,-14.1446415209082,0,0,0,0,0,0,1.60056707004,0,0,0,0,0,0,0,0,0
0.01,0,0,0.003,0,0,0,0,0,0,0,0,3.62276980246188e-16,1.92303901400073e-16,1.61970049245729e-06,3.61863018580152e-14,1.90441876844152e-14,0.00017873482998028,9.85884587596978e-15,-1.67344294212637e-14,2.34775939495284e-13,1.43770742817606e-12,-1.90593220330378e-12,2.38215603265924e-11,1,2.34775939495283e-13,1.6734429421266e-14,-2.34775939495284e-13,1,9.85884587596585e-15,-1.67344294212637e-14,-9.85884587596978e-15,1,14.1507771455723,-14.1507771455714,14.1507771455726,-14.1507771455735,5.41071425704015,-5.41071425704006,5.4107142570401,-5.41071425704014,-1.78953455755685e-14,-9.41882410349382e-15,1.60195595058924,-4.36485277388634e-15,5.79012203916576e-15,0,4.50860126951333e-18,0,0.00299838029950754,6.84010590512538e-15,0,0
0.02,0,0,0.006,0,0,0,0,0,0,0,0,7.36035510805374e-16,3.80491380999733e-16,3.78466399922988e-06,3.74051634428657e-14,2.05960378372634e-14,0.000264972005913537,3.23759149536506e-14,-3.64670302218122e-14,1.08908205472272e-12,2.70323190019207e-12,-3.09845089087293e-12,6.82594532317493e-11,1,1.08908205472272e-12,3.64670302218474e-14,-1.08908205472272e-12,1,3.23759149536109e-14,-3.64670302218122e-14,-3.23759149536506e-14,1,14.157088823258,-14.1570888232562,14.1570888232582,-14.15708882326,11.7679503513759,-11.7679503513758,11.7679503513758,-11.7679503513759,-1.86809835465206e-14,-1.02735908184442e-14,1.60338531159695,-8.4472859102595e-15,9.61796154150552e-15,0,3.93369761205083e-18,0,0.00599621533600077,3.59193402733254e-14,0,0
0.03,0,0,0.009,0,0,0,0,0,0,0,0,1.11744137566208e-15,5.22581986571832e-16,3.49795851552156e-05,2.85529050778767e-14,2.30006574282729e-15,0.0114034046996489,6.62035698204275e-14,-1.02807674554185e-13,1.42243954096432e-12,4.03638036209999e-12,-7.27081923203031e-12,4.42668661165637e-11,1,1.42243954096431e-12,1.02807674554279e-13,-1.42243954096432e-12,1,6.62035698202812e-14,-1.02807674554185e-13,-6.62035698204275e-14,1,14.141833847075,-14.1418338470723,14.1418338470771,-14.1418338470798,15.4753388335322,-15.4753388335297,15.4753388335326,-15.4753388335351,-1.45409778244134e-14,-1.39012780529139e-15,1.59993171646645,-1.29584922232836e-14,2.30308069778348e-14,0,3.01925874937677e-18,0,0.00896502041484479,1.14244944114594e-13,0,0
0.04,0,0,0.012,0,0,0,0,0,0,0,0,1.14347592336285e-15,3.52995683712963e-16,0.000194674572346054,-3.0764408264408e-14,-3.71287744407854e-14,0.018398934657152,9.92302053046311e-14,-1.64332126005344e-13,1.59294448264375e-12,2.57619601381867e-12,-4.87492958791719e-12,-2.84633470033198e-12,1,1.59294448264374e-12,1.64332126005502e-13,-1.59294448264375e-12,1,9.92302053043693e-14,-1.64332126005344e-13,-9.92302053046311e-14,1,14.1343564963961,-14.1343564963942,14.1343564963977,-14.1343564963997,14.4569391176249,-14.4569391176219,14.4569391176275,-14.4569391176304,1.44799027192709e-14,1.79948829800427e-14,1.59824026853791,-9.16495011604853e-15,1.68788851477058e-14,0,4.18108932863154e-18,0,0.0118053254276539,2.05603261858572e-13,0,0
0.05,0,0,0.015,0,0,0,0,0,0,0,0,4.88225859941477e-16,-3.26785839974617e-16,0.000392047708071625,-1.0699606758649e-13,-1.26909339251294e-13,0.0203179573729631,1.12626851983589e-13,-2.07373039551024e-13,1.28046129405756e-12,-1.44166026868009e-12,-4.4822505482223e-12,-1.2375489447011e-10,1,1.28046129405754e-12,2.07373039551168e-13,-1.28046129405756e-12,1,1.12626851983323e-13,-2.07373039551024e-13,-1.12626851983589e-13,1,14.1366840910484,-14.1366840910489,14.1366840910523,-14.1366840910519,14.1840496454083,-14.1840496454065,14.1840496454099,-14.1840496454117,5.21244330970665e-14,6.22836044941044e-14,1.59876669672125,2.35438706932046e-15,1.65664388772451e-14,0,1.78799928154619e-18,0,0.0146079522919284,2.83841860550297e-13,0,0
0.06,0,0,0.018,0,0,0,0,0,0,0,0,-4.56577660253383e-16,-1.58479128251413e-15,0.000597683947834011,-1.35805582402986e-13,-1.28680342768185e-13,0.0206964946399712,9.97921551564581e-14,-2.62337231181119e-13,1.9222802930615e-13,-1.15554960181364e-12,-4.24972394922112e-12,-1.13232220143798e-10,1,1.92228029306124e-13,2.62337231181138e-13,-1.9222802930615e-13,1,9.97921551564077e-14,-2.62337231181119e-13,-9.97921551564581e-14,1,14.1419928745282,-14.1419928745286,14.1419928745321,-14.1419928745317,14.1471478793469,-14.1471478793481,14.1471478793514,-14.1471478793503,6.67036959414898e-14,6.37867388666312e-14,1.59996769970609,1.65107307274344e-15,1.67015343228438e-14,0,2.23189486994868e-18,0,0.017402316052166,3.34571034871513e-13,0,0
0.07,0,0,0.021,0,0,0,0,0,0,0,0,-1.00030960619777e-15,-2.56493196043939e-15,0.000804927595579638,7.39068834684025e-14,-2.05301408182917e-14,0.0207602495436895,9.93858918300067e-14,-3.48690382614752e-13,-1.10191171072532e-12,2.60321524148016e-12,-1.54550932084493e-11,-1.58268301543811e-10,1,-1.10191171072536e-12,3.48690382614642e-13,1.10191171072532e-12,1,9.9385891830391e-14,-3.48690382614752e-13,-9.93858918300067e-14,1,14.1479087889237,-14.1479087889218,14.1479087889324,-14.1479087889343,14.1468483494028,-14.1468483494032,14.1468483494068,-14.1468483494062,-3.56692637796432e-14,1.13461950532844e-14,1.60130658479862,-9.19377493210623e-15,5.06086783025588e-14,0,2.22053086101185e-16,0,0.0201950724044204,3.43341102127139e-13,0,0
0.08,0,0,0.024,0,0,0,0,0,0,0,0,-8.00952616801271e-16,-2.89807873598098e-15,0.00101276450860291,-6.71552260943453e-14,-3.69604492649157e-14,0.0208263997150494,1.22436149852526e-13,-4.88782794064466e-13,-2.63247145724041e-12,2.46302622913898e-12,-1.12263759321446e-11,-1.40915503702134e-10,1,-2.63247145724047e-12,4.88782794064144e-13,2.63247145724041e-12,1,1.22436149853813e-13,-4.88782794064466e-13,-1.22436149852526e-13,1,14.1538162889653,-14.1538162889634,14.1538162889718,-14.1538162889737,14.1508900737208,-14.1508900737182,14.1508900737306,-14.150890073733,3.3275582404766e-14,1.95568398648957e-14,1.60264412433496,-9.13938579873249e-15,4.0303222164104e-14,0,2.22102202020268e-16,0,0.0229872354913971,5.27033683931448e-13,0,0
0.09,0,0,0.027,0,0,0,0,0,0,0,0,-2.40614339092198e-15,-3.65445060245813e-15,0.00122158749675253,-3.19824266184047e-13,-1.58464426359736e-13,0.0209585567412668,1.34009190306891e-13,-5.68577913153675e-13,-4.31525353157475e-12,-1.86453058312271e-12,-7.5350594575211e-13,-2.73387003619337e-10,1,-4.31525353157483e-12,5.68577913153097e-13,4.31525353157475e-12,1,1.34009190309344e-13,-5.68577913153675e-13,-1.34009190306891e-13,1,14.1595908471781,-14.1595908471788,14.159590847181,-14.1595908471804,14.1560870666907,-14.1560870666887,14.1560870666971,-14.1560870666993,1.57761393168331e-13,7.94119599410806e-14,1.60395210367625,3.20783991507247e-15,1.09306836698981e-14,0,4.76711977330165e-18,0,0.0257784125032475,6.91724486746147e-13,0,0
