time,referenceVector[1],referenceVector[2],referenceVector[3],referenceVector[4],referenceVector[5],referenceVector[6],referenceVector[7],referenceVector[8],referenceVector[9],referenceVector[10],referenceVector[11],quadChassisTest17_1.body.r_0[1],quadChassisTest17_1.body.r_0[2],quadChassisTest17_1.body.r_0[3],quadChassisTest17_1.body.v_0[1],quadChassisTest17_1.body.v_0[2],quadChassisTest17_1.body.v_0[3],sensors1_1.AngleMea[1],sensors1_1.AngleMea[2],sensors1_1.AngleMea[3],quadChassisTest17_1.body.frame_b.R.w[1],quadChassisTest17_1.body.frame_b.R.w[2],quadChassisTest17_1.body.frame_b.R.w[3],"quadChassisTest17_1.body.frame_b.R.T[1,1]","quadChassisTest17_1.body.frame_b.R.T[1,2]","quadChassisTest17_1.body.frame_b.R.T[1,3]","quadChassisTest17_1.body.frame_b.R.T[2,1]","quadChassisTest17_1.body.frame_b.R.T[2,2]","quadChassisTest17_1.body.frame_b.R.T[2,3]","quadChassisTest17_1.body.frame_b.R.T[3,1]","quadChassisTest17_1.body.frame_b.R.T[3,2]","quadChassisTest17_1.body.frame_b.R.T[3,3]",motorCommand[1],motorCommand[2],motorCommand[3],motorCommand[4],speedSensor[1].w,speedSensor[2].w,speedSensor[3].w,speedSensor[4].w,controllerDiagnostics[1],controllerDiagnostics[2],controllerDiagnostics[3],controllerDiagnostics[4],controllerDiagnostics[5],controllerDiagnostics[6],controllerDiagnostics[7],controllerDiagnostics[8],controllerDiagnostics[9],controllerDiagnostics[10],controllerDiagnostics[11],controllerDiagnostics[12],controllerDiagnostics[13],controllerDiagnostics[14],controllerDiagnostics[15],controllerDiagnostics[16],quadChassisTest17_1.perRotorDisturbance
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.71701389582819,-14.71701389582819,14.71701389582819,-14.71701389582819,0.0,0.0,0.0,0.0,0.0,0.0,1.7327239840800002,-0.0,-0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3600.0,97406.0,0.0
0.01,0.0,0.0,0.003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-8.401617325268315e-17,-2.7276772246734023e-18,1.6197004924574599e-06,-7.814886989715792e-15,-4.178287416960511e-16,0.00017873482998028052,-5.1681758795737274e-15,5.511673276845492e-16,-1.452703675532858e-13,-5.027233211095649e-13,-3.7745995335050094e-13,-3.1126121770129484e-11,1.0,-1.452703675532858e-13,-5.511673276837984e-16,1.452703675532858e-13,1.0,-5.168175879573808e-15,5.511673276845492e-16,5.1681758795737274e-15,1.0,14.722910992009949,-14.722910992010263,14.722910992010496,-14.722910992010181,5.410714257039987,-5.410714257039993,5.410714257039958,-5.410714257040021,3.8676473219441715e-15,2.0589427611516082e-16,1.7341128646292434,1.5738127368393047e-15,1.1542090000990808e-15,0.0,3.712926308590079e-18,0.0,0.0029983802995075426,5.3213231155874376e-15,1.0,1.0,0.0,-0.2259585181809385,3600.0,97406.0,0.0
0.02,0.0,0.0,0.006,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1.713910900766055e-16,-2.5229382855483624e-18,3.78466399923013e-06,-9.487663112607545e-15,1.049575235216542e-15,0.00026497200591353814,-6.729345506338234e-15,6.35200403417784e-15,-6.678912196800586e-13,1.2630888514980638e-12,1.6441297114746008e-12,-2.7668749588544326e-11,1.0,-6.678912196800586e-13,-6.352004034173345e-15,6.678912196800586e-13,1.0,-6.729345506342477e-15,6.35200403417784e-15,6.729345506338234e-15,1.0,14.728977500310222,-14.728977500309483,14.728977500308487,-14.728977500309226,11.767950351375925,-11.767950351375918,11.76795035137591,-11.767950351375958,4.7306141230510345e-15,-5.124595788010722e-16,1.7355422256369537,-3.697946507798357e-15,-4.9795307372121196e-15,0.0,3.2978010532429163e-18,0.0,0.00599621533600077,7.905387887058923e-15,1.0,1.0,0.0,-0.22951450899189468,3600.0,97406.0,0.0
0.03,0.0,0.0,0.009,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.6282749027174664e-16,6.050247811218187e-17,4.0683584747441145e-05,-6.49295567213002e-15,6.004464149656297e-15,0.014675264002541683,-3.564586862334201e-15,2.4670729958033677e-14,-1.25132016421228e-12,-1.176927825922306e-13,2.547157334121306e-12,-5.904456890285357e-11,1.0,-1.25132016421228e-12,-2.4670729958029216e-14,1.25132016421228e-12,1.0,-3.5645868623650724e-15,2.4670729958033677e-14,3.564586862334201e-15,1.0,14.70818016080185,-14.708180160801936,14.708180160800344,-14.70818016080026,16.26435563520498,-16.264355635204016,16.264355635202687,-16.264355635203668,3.3110417419791955e-15,-2.9696066690423587e-15,1.730644509140664,4.2172463006585375e-16,-7.937320097059611e-15,0.0,2.2207637298916034e-16,0.0,0.008959316415252558,2.33621358560931e-14,1.0,1.0,0.0,0.09287836224866357,3600.0,97406.0,0.0
0.04,0.0,0.0,0.012,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.1814901433468601e-16,9.811260321544163e-17,0.00028804302964062533,1.626117639019315e-14,4.9624844872927305e-15,0.03159507399897008,-6.2825436778818255e-15,5.012918389532092e-14,-1.425744297622703e-12,-2.4040507741179e-13,2.6488803440769063e-12,2.885977767299179e-11,1.0,-1.4257442976227033e-12,-5.012918389531196e-14,1.425744297622703e-12,1.0,-6.282543677953296e-15,5.012918389532092e-14,6.2825436778818255e-15,1.0,14.68220980475006,-14.682209804750226,14.682209804748489,-14.682209804748325,15.02569333114154,-15.025693331141849,15.025693331140104,-15.025693331139811,-7.849022196919194e-15,-2.4786114937420074e-15,1.724538278005406,8.21572692146979e-16,-8.657488311199493e-15,0.0,2.220809597192581e-16,0.0,0.011711956970359375,5.5222812463992285e-14,1.0,1.0,0.0,0.2237883381979964,3600.0,97406.0,0.0
0.05,0.0,0.0,0.015000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,6.08432451162918e-17,1.5973974055299776e-16,0.0006593814016552155,4.04926297915281e-14,8.128853241786736e-15,0.041731482428472244,-8.81418808496222e-15,7.366954829362106e-14,-1.0356841627194877e-12,-2.9117566319046897e-13,2.1684850570809013e-12,1.0733161878532677e-10,1.0,-1.0356841627194883e-12,-7.366954829361192e-14,1.0356841627194875e-12,1.0,-8.814188085038519e-15,7.366954829362106e-14,8.81418808496222e-15,1.0,14.668672433217704,-14.66867243321791,14.668672433216381,-14.668672433216177,14.725870666680995,-14.725870666681224,14.72587066667947,-14.72587066667915,-1.985070325423863e-14,-4.059624298709829e-15,1.7213596076241728,1.018770406565311e-15,-7.613075179904788e-15,0.0,4.050643628272933e-18,0.0,0.014340618598344788,8.593095252690622e-14,1.0,1.0,0.0,0.10490551194874856,3600.0,97406.0,0.0
0.06,0.0,0.0,0.018,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,5.591266437379147e-16,2.3017324604823246e-16,0.0011173825891281817,6.515263619560803e-14,6.512990303295307e-15,0.04970390556256847,-1.3102493388909554e-14,9.343581252175745e-14,1.5022799736065184e-13,-1.3872817026891067e-12,1.9059029598155383e-12,1.3163882923257267e-10,1.0,1.5022799736065063e-13,-9.343581252175942e-14,-1.5022799736065184e-13,1.0,-1.3102493388895519e-14,9.343581252175745e-14,1.3102493388909554e-14,1.0,14.65900663323482,-14.659006633235697,14.659006633234254,-14.659006633233378,14.675729095922222,-14.6757290959224,14.675729095920907,-14.675729095920696,-3.217306249889916e-14,-3.304332043498761e-15,1.7190918037857135,4.35716531881133e-15,-7.175671403414225e-15,0.0,4.042832375960919e-18,0.0,0.01688261741087182,1.1315289718838304e-13,1.0,1.0,0.0,0.035120397956287276,3600.0,97406.0,0.0
0.07,0.0,0.0,0.021,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.3301791765990394e-15,3.4620604617885577e-16,0.0016515554355318244,8.613966071046095e-14,2.1752032939725403e-14,0.05708333460497174,-2.6003376927431212e-14,1.0947708022977182e-13,1.5774823593426993e-12,-1.0997252664733702e-12,1.4240446229340646e-12,1.5332646319728313e-10,1.0,1.5774823593426964e-12,-1.0947708022981284e-13,-1.5774823593426993e-12,1.0,-2.6003376927258515e-14,1.0947708022977182e-13,2.6003376927431212e-14,1.0,14.65028985961309,-14.65028985961384,14.650289859612629,-14.650289859611881,14.659480685746818,-14.659480685747974,14.659480685746324,-14.659480685745304,-4.28355698403089e-14,-1.0822074768586515e-14,1.7170479437654034,3.719155077181078e-15,-6.019649748916431e-15,0.0,4.780650683152632e-18,0.0,0.019348444564468176,1.3825185715178487e-13,1.0,1.0,0.0,0.010454653726241376,3600.0,97406.0,0.0
0.08,0.0,0.0,0.024,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.2007254402467977e-15,5.99157261658828e-16,0.0022583927130340894,9.613919897949885e-14,2.6646292830959465e-14,0.06424718332313951,-3.5913650080230146e-14,1.2569273083940421e-13,3.1688277306838317e-12,-1.1577801046107893e-12,1.4157920361725829e-12,1.9488930844808353e-10,1.0,3.1688277306838272e-12,-1.25692730839518e-13,-3.168827730683832e-12,1.0,-3.5913650079831854e-14,1.2569273083940421e-13,3.5913650080230146e-14,1.0,14.641821457658278,-14.641821457659091,14.641821457657835,-14.641821457657022,14.648273149654157,-14.648273149654909,14.64827314965411,-14.648273149653274,-4.8170354225931484e-14,-1.3345607524797958e-14,1.7150634847834871,4.041376059663034e-15,-6.246507804254194e-15,0.0,4.687453169927976e-18,0.0,0.021741607286965912,1.5986666310714893e-13,1.0,1.0,0.0,0.0033737984475922383,3600.0,97406.0,0.0
0.09,0.0,0.0,0.027000000000000003,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,3.316585408016882e-15,9.382739518761095e-16,0.0029361504249195867,1.523989852750063e-13,4.3282325547625174e-14,0.07127043158961717,-4.4557222159126166e-14,1.3583912443385215e-13,5.201013030372358e-12,-2.89468234816479e-13,-6.596506060712658e-13,2.321469548045819e-10,1.0,5.201013030372353e-12,-1.358391244340839e-13,-5.201013030372359e-12,1.0,-4.455722215841966e-14,1.3583912443385215e-13,4.4557222159126166e-14,1.0,14.633464431364999,-14.633464431365324,14.63346443136525,-14.633464431364926,14.639023834943997,-14.639023834944792,14.63902383494361,-14.639023834942813,-7.627222078716651e-14,-2.1659967703159235e-14,1.7131062501122258,1.6120164358982518e-15,-3.6575269674243004e-16,0.0,1.2312002785228937e-18,0.0,0.024063849575080416,1.8921509737487227e-13,1.0,1.0,0.0,0.001501977120788079,3600.0,97406.0,0.0
